"sid","fail","est","se","icc","identL","identU","identC","identR","identEL","identER","logitL","logitU","logitC","logitR","logitEL","logitER"
1282,0,0.640293547435357,0.0276023769125591,0.0633652710041961,0.583752641437148,0.69683445343357,0.951,0.9968,0.0276,0.0214,0.582020880368062,0.694651681802824,0.952,0.9964,0.0244,0.0236
1283,0,0.640048029819357,0.0287490202830246,0.0526961844458019,0.581158331351994,0.698937728286718,0.9488,0.9944,0.0288,0.0224,0.57929485615912,0.696563460608742,0.95,0.9942,0.025,0.025
1284,0,0.640143990939536,0.0285923197126709,0.0526417958091216,0.581575279039608,0.698712702839463,0.9482,0.9958,0.0332,0.0186,0.579729760529548,0.6963647428371,0.9506,0.9956,0.029,0.0204
1285,0,0.639360054869145,0.0258591352406691,0.0787697565771573,0.587366778752152,0.691353330986141,0.9458,0.9988,0.0312,0.023,0.585902264476963,0.689543563503304,0.9498,0.9986,0.025,0.0252
1286,0,0.63986841382296,0.025720119924889,0.0789455796731199,0.588154646731716,0.691582180914208,0.9436,0.9992,0.0306,0.0258,0.586697496764566,0.689786032296512,0.9464,0.9992,0.0256,0.028
1287,0,0.639935239374205,0.0276638480296159,0.0640702688311409,0.584313344996225,0.695557133752186,0.9496,0.9972,0.03,0.0204,0.582646242092149,0.693468357916686,0.9526,0.9972,0.0248,0.0226
1288,0,0.639783015090328,0.0274712782687364,0.0634612516689458,0.58454830816684,0.695017722013817,0.9478,0.998,0.029,0.0232,0.582902378275928,0.692958594276703,0.9498,0.9978,0.025,0.0252
1289,0,0.640042508263632,0.0293318370616943,0.0528955368140199,0.581066897162417,0.699018119364845,0.951,0.995,0.0278,0.0212,0.57920551163616,0.696654881011999,0.9544,0.9948,0.0222,0.0234
1290,2e-04,0.640609303931093,0.0292426869731965,0.0535482977147274,0.581812941096463,0.699405666765727,0.947789557911582,0.993198639727946,0.0302060412082416,0.022004400880176,0.579951642589695,0.697048248367242,0.952790558111622,0.993198639727946,0.024004800960192,0.0232046409281856
1291,0,0.64025568084559,0.0208190592012419,0.0791207347298873,0.598396156794536,0.682115204896645,0.9468,1,0.03,0.0232,0.597415337590398,0.68095409076208,0.9474,1,0.027,0.0256
1292,0,0.640619446792582,0.0207268331126878,0.0794257903642053,0.598945355720737,0.68229353786443,0.9476,1,0.0316,0.0208,0.597969933414585,0.681140107891088,0.9496,1,0.028,0.0224
1293,0,0.639478583777955,0.021598332532014,0.0636476598558345,0.59605222568236,0.682904941873546,0.9484,1,0.0266,0.025,0.595009749308164,0.68166098850493,0.9472,1,0.0246,0.0282
1294,0,0.640319715333022,0.0214448748491341,0.0634410250936443,0.597201904588453,0.683437526077591,0.9432,1,0.0332,0.0236,0.596163979914693,0.682202589295191,0.9456,1,0.0296,0.0248
